title,source,SSR,SRR,cost,shift,scale
Carlos Gonzalez - A Place For Us,vocals,18.595166461845416,8.861283425203911,4.065895535614969,"[[0. 0.]
 [0. 0.]]","[[0.82940795 0.10044274]
 [0.11335708 0.82754516]]"
Cristina Vane - So Easy,bass,12.913868493687854,6.624367941405392,3.9128358010487916,"[[ 0.  7.]
 [-6.  0.]]","[[ 0.88446566 -0.09252097]
 [ 0.17144422  0.55346335]]"
Cristina Vane - So Easy,drums,28.020843891818316,15.538971095026849,3.5159759087776594,"[[0. 0.]
 [0. 0.]]","[[0.88904798 0.06369063]
 [0.03494911 0.91901682]]"
Cristina Vane - So Easy,other,18.46326091471041,6.645616060364267,5.914360913931353,"[[0. 0.]
 [0. 0.]]","[[0.85877986 0.03825841]
 [0.02111305 0.86523599]]"
Cristina Vane - So Easy,vocals,27.016838033504477,13.466089262394012,2.1083602462800206,"[[0. 0.]
 [0. 0.]]","[[0.93211323 0.01131747]
 [0.00771997 0.9364279 ]]"
Detsky Sad - Walkie Talkie,bass,7.959437968411389,5.293873468760749,2.617462391432348,"[[0. 0.]
 [0. 0.]]","[[0.28422986 0.28822818]
 [0.26508369 0.29781823]]"
Detsky Sad - Walkie Talkie,drums,17.327751671810773,9.425278704789118,7.564624757926511,"[[0. 0.]
 [0. 0.]]","[[0.78579401 0.0488304 ]
 [0.02103912 0.80991429]]"
Detsky Sad - Walkie Talkie,other,13.347086211890506,0.3360018908800121,9.614795841971748,"[[0. 0.]
 [0. 0.]]","[[0.77440279 0.        ]
 [0.         0.79404711]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,0.8600052717384512,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Enda Reilly - Cur An Long Ag Seol,bass,25.28810668464828,13.000139976530427,2.946650205028827,"[[0. 0.]
 [0. 0.]]","[[0.47651393 0.47492573]
 [0.47566951 0.47508369]]"
Enda Reilly - Cur An Long Ag Seol,drums,27.565443455810623,17.143336449496463,2.3385271146485045,"[[0. 0.]
 [0. 0.]]","[[0.91674723 0.00461861]
 [0.01492509 0.90939427]]"
Enda Reilly - Cur An Long Ag Seol,other,25.303223376635234,13.37912629747837,3.2036835281512865,"[[ 0. -1.]
 [ 1.  0.]]","[[ 0.96247676 -0.01282427]
 [-0.00453564  0.950495  ]]"
Enda Reilly - Cur An Long Ag Seol,vocals,29.619288415750816,15.984739102249799,2.2951598226874825,"[[0. 0.]
 [0. 0.]]","[[0.88446929 0.0412273 ]
 [0.02965309 0.90454708]]"
Forkupines - Semantics,bass,16.850278884384977,8.412321944946138,4.079642428997203,"[[ 0.  1.]
 [-2.  0.]]","[[0.86376635 0.        ]
 [0.05691168 0.75190068]]"
Forkupines - Semantics,drums,25.240216197911153,12.534298177731504,6.221342539136453,"[[0. 0.]
 [0. 0.]]","[[0.6606003  0.22335792]
 [0.19643839 0.71005065]]"
Forkupines - Semantics,other,15.266854240164712,6.266286109657583,7.813647525323771,"[[0. 0.]
 [0. 0.]]","[[ 0.85129111 -0.01182833]
 [-0.01335496  0.85686351]]"
Forkupines - Semantics,vocals,0.0,-44.58594907772354,0.12678123786872622,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Georgia Wonder - Siren,bass,23.562341516450438,12.932366447647542,3.586257635577703,"[[ -1. -18.]
 [ 19.   3.]]","[[0.84329708 0.07285128]
 [0.08332012 0.84147956]]"
Georgia Wonder - Siren,drums,24.967577757842314,13.081326025986664,4.0600032995572075,"[[0. 0.]
 [0. 0.]]","[[0.94969229 0.00964205]
 [0.03183738 0.89670574]]"
Georgia Wonder - Siren,other,17.454607554041267,8.078432565872978,5.597533709694331,"[[0. 0.]
 [0. 0.]]","[[ 0.86614384  0.00345002]
 [-0.00832801  0.87755498]]"
Georgia Wonder - Siren,vocals,8.504271980768937,3.151211480864411,4.470085271538169,"[[0. 0.]
 [0. 0.]]","[[0.63239074 0.        ]
 [0.         0.62454805]]"
Girls Under Glass - We Feel Alright,bass,8.991686797821227,3.7444131880453035,7.913238659060303,"[[0. 0.]
 [0. 0.]]","[[0.56638055 0.06698836]
 [0.07178403 0.55191606]]"
