title,source,SSR,SRR,cost,shift,scale
Carlos Gonzalez - A Place For Us,other,7.703432422877464,7.937586093267366,5.416595731537274,"[[  0.  19.]
 [-19.   0.]]","[[ 1.41504631 -0.00151194]
 [ 0.00774682  1.41090398]]"
Carlos Gonzalez - A Place For Us,vocals,6.592031455158839,8.921227221629351,3.844745737003006,"[[  0. -14.]
 [ 15.   0.]]","[[1.38018091 0.09232281]
 [0.07053185 1.40917624]]"
Cristina Vane - So Easy,bass,12.781041782712677,3.3173497829220455,5.487175738694936,"[[  2.  34.]
 [-34.  -1.]]","[[0.65622885 0.20751593]
 [0.4188117  0.59114446]]"
Cristina Vane - So Easy,drums,7.333478022365146,13.878209245679246,4.519605225765994,"[[  0.  35.]
 [-35.   0.]]","[[1.292887   0.07497829]
 [0.23036067 1.20226841]]"
Cristina Vane - So Easy,other,10.39085306215198,3.6684436348233973,8.530761512850033,"[[  0.  22.]
 [-22.   0.]]","[[ 1.27856854  0.00947369]
 [-0.01476582  1.28967978]]"
Cristina Vane - So Easy,vocals,7.021949147574964,12.03193724749606,2.39296249872714,"[[  0. -18.]
 [ 18.   0.]]","[[1.36568496 0.01493308]
 [0.01904579 1.36774814]]"
Detsky Sad - Walkie Talkie,bass,-0.002517418418913127,-38.79454027340054,0.5853071679888882,"[[375.  441. ]
 [336.5 355. ]]","[[ 8.69581293e-05 -6.68352620e-04]
 [-5.49913671e-04  4.09833057e-04]]"
Detsky Sad - Walkie Talkie,drums,26.579750983600245,8.175331263724816,6.73560622071056,"[[  0.  26.]
 [-27.   0.]]","[[0.91666412 0.05203057]
 [0.25001115 0.70924924]]"
Detsky Sad - Walkie Talkie,other,19.39456919550505,-2.122899776105239,10.110325262291347,"[[  0. -17.]
 [ 17.   0.]]","[[0.88472809 0.        ]
 [0.         0.88917639]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,0.65511300074142,"[[0. 0.]
 [0. 0.]]","[[0. 0.]
 [0. 0.]]"
Enda Reilly - Cur An Long Ag Seol,bass,9.387699020108688,13.120588899886808,2.9044664331796257,"[[ -1. -21.]
 [ 22.   2.]]","[[1.13823269 0.20005126]
 [0.15548278 1.14024207]]"
